bc_id,short_name,synonyms
C121111,"APACHE II - B, Age Points",APCH1-B: Age Points;APCH114
C121112,"APACHE II - C, Chronic Health Points",APCH1-C: Chronic Health Points;APCH115
C121112,"APACHE II - C, Chronic Health Points",APCH1-C: Chronic Health Points;APCH115
C121112,"APACHE II - C, Chronic Health Points",APCH1-C: Chronic Health Points;APCH115
C121112,"APACHE II - C, Chronic Health Points",APCH1-C: Chronic Health Points;APCH115
C121098,APACHE II - Heart Rate,APCH1-Heart Rate;APCH103
C121098,APACHE II - Heart Rate,APCH1-Heart Rate;APCH103
C121098,APACHE II - Heart Rate,APCH1-Heart Rate;APCH103
C121098,APACHE II - Heart Rate,APCH1-Heart Rate;APCH103
C121098,APACHE II - Heart Rate,APCH1-Heart Rate;APCH103
C121107,APACHE II - Hematocrit,APCH1-Hematocrit;APCH110
C121107,APACHE II - Hematocrit,APCH1-Hematocrit;APCH110
C121107,APACHE II - Hematocrit,APCH1-Hematocrit;APCH110
C121107,APACHE II - Hematocrit,APCH1-Hematocrit;APCH110
C121107,APACHE II - Hematocrit,APCH1-Hematocrit;APCH110
C121097,APACHE II - Mean Arterial Pressure,APCH1-Mean Arterial Pressure;APCH102
C121097,APACHE II - Mean Arterial Pressure,APCH1-Mean Arterial Pressure;APCH102
C121097,APACHE II - Mean Arterial Pressure,APCH1-Mean Arterial Pressure;APCH102
C121097,APACHE II - Mean Arterial Pressure,APCH1-Mean Arterial Pressure;APCH102
C121097,APACHE II - Mean Arterial Pressure,APCH1-Mean Arterial Pressure;APCH102
C121100,"APACHE II - Oxygenation, A-aDO2",APCH1-Oxygenation: A-aDO2;APCH105A
C121100,"APACHE II - Oxygenation, A-aDO2",APCH1-Oxygenation: A-aDO2;APCH105A
C121100,"APACHE II - Oxygenation, A-aDO2",APCH1-Oxygenation: A-aDO2;APCH105A
C121100,"APACHE II - Oxygenation, A-aDO2",APCH1-Oxygenation: A-aDO2;APCH105A
C121100,"APACHE II - Oxygenation, A-aDO2",APCH1-Oxygenation: A-aDO2;APCH105A
C121101,"APACHE II - Oxygenation, PaO2",APCH1-Oxygenation: PaO2;APCH105B
C121101,"APACHE II - Oxygenation, PaO2",APCH1-Oxygenation: PaO2;APCH105B
C121101,"APACHE II - Oxygenation, PaO2",APCH1-Oxygenation: PaO2;APCH105B
C121101,"APACHE II - Oxygenation, PaO2",APCH1-Oxygenation: PaO2;APCH105B
C121101,"APACHE II - Oxygenation, PaO2",APCH1-Oxygenation: PaO2;APCH105B
C121099,APACHE II - Respiratory Rate,APCH1-Respiratory Rate;APCH104
C121099,APACHE II - Respiratory Rate,APCH1-Respiratory Rate;APCH104
C121099,APACHE II - Respiratory Rate,APCH1-Respiratory Rate;APCH104
C121099,APACHE II - Respiratory Rate,APCH1-Respiratory Rate;APCH104
C121099,APACHE II - Respiratory Rate,APCH1-Respiratory Rate;APCH104
C121106,APACHE II - Serum Creatinine,APCH1-Serum Creatinine;APCH109
C121106,APACHE II - Serum Creatinine,APCH1-Serum Creatinine;APCH109
C121106,APACHE II - Serum Creatinine,APCH1-Serum Creatinine;APCH109
C121106,APACHE II - Serum Creatinine,APCH1-Serum Creatinine;APCH109
C121106,APACHE II - Serum Creatinine,APCH1-Serum Creatinine;APCH109
C121103,APACHE II - Serum HCO3,APCH1-Serum HCO3;APCH106B
C121103,APACHE II - Serum HCO3,APCH1-Serum HCO3;APCH106B
C121103,APACHE II - Serum HCO3,APCH1-Serum HCO3;APCH106B
C121103,APACHE II - Serum HCO3,APCH1-Serum HCO3;APCH106B
C121103,APACHE II - Serum HCO3,APCH1-Serum HCO3;APCH106B
C121105,APACHE II - Serum Potassium,APCH1-Serum Potassium;APCH108
C121105,APACHE II - Serum Potassium,APCH1-Serum Potassium;APCH108
C121105,APACHE II - Serum Potassium,APCH1-Serum Potassium;APCH108
C121105,APACHE II - Serum Potassium,APCH1-Serum Potassium;APCH108
C121105,APACHE II - Serum Potassium,APCH1-Serum Potassium;APCH108
C121104,APACHE II - Serum Sodium,APCH1-Serum Sodium;APCH107
C121104,APACHE II - Serum Sodium,APCH1-Serum Sodium;APCH107
C121104,APACHE II - Serum Sodium,APCH1-Serum Sodium;APCH107
C121104,APACHE II - Serum Sodium,APCH1-Serum Sodium;APCH107
C121104,APACHE II - Serum Sodium,APCH1-Serum Sodium;APCH107
C121096,"APACHE II - Temperature, Rectal",APCH1-Temperature - Rectal;APCH101
C121096,"APACHE II - Temperature, Rectal",APCH1-Temperature - Rectal;APCH101
C121096,"APACHE II - Temperature, Rectal",APCH1-Temperature - Rectal;APCH101
C121096,"APACHE II - Temperature, Rectal",APCH1-Temperature - Rectal;APCH101
C121096,"APACHE II - Temperature, Rectal",APCH1-Temperature - Rectal;APCH101
C121096,"APACHE II - Temperature, Rectal",APCH1-Temperature - Rectal;APCH101
C121113,APACHE II - Total APACHE II Score,APCH1-Total APACHE II Score;APCH116
C121113,APACHE II - Total APACHE II Score,APCH1-Total APACHE II Score;APCH116
C121113,APACHE II - Total APACHE II Score,APCH1-Total APACHE II Score;APCH116
C121113,APACHE II - Total APACHE II Score,APCH1-Total APACHE II Score;APCH116
C121108,APACHE II - White Blood Count,APCH1-White Blood Count;APCH111
C121108,APACHE II - White Blood Count,APCH1-White Blood Count;APCH111
C121108,APACHE II - White Blood Count,APCH1-White Blood Count;APCH111
C121108,APACHE II - White Blood Count,APCH1-White Blood Count;APCH111
C121108,APACHE II - White Blood Count,APCH1-White Blood Count;APCH111
C120994,APACHE II Clinical Classification Question,APACHE II Question
C147843,ATLAS - Age,ATLAS1-Age;ATLAS101;ATLAS - Age
C147843,ATLAS - Age,ATLAS1-Age;ATLAS101;ATLAS - Age
C147843,ATLAS - Age,ATLAS1-Age;ATLAS101;ATLAS - Age
C147843,ATLAS - Age,ATLAS1-Age;ATLAS101;ATLAS - Age
C147843,ATLAS - Age,ATLAS1-Age;ATLAS101;ATLAS - Age
C147846,ATLAS - Albumin,ATLAS1-Albumin;ATLAS104;ATLAS - Albumin
C147846,ATLAS - Albumin,ATLAS1-Albumin;ATLAS104;ATLAS - Albumin
C147846,ATLAS - Albumin,ATLAS1-Albumin;ATLAS104;ATLAS - Albumin
C147846,ATLAS - Albumin,ATLAS1-Albumin;ATLAS104;ATLAS - Albumin
C147846,ATLAS - Albumin,ATLAS1-Albumin;ATLAS104;ATLAS - Albumin
C147845,ATLAS - Leukocyte Count,ATLAS1-Leukocyte Count;ATLAS103;ATLAS - Leukocyte Count
C147845,ATLAS - Leukocyte Count,ATLAS1-Leukocyte Count;ATLAS103;ATLAS - Leukocyte Count
C147845,ATLAS - Leukocyte Count,ATLAS1-Leukocyte Count;ATLAS103;ATLAS - Leukocyte Count
C147845,ATLAS - Leukocyte Count,ATLAS1-Leukocyte Count;ATLAS103;ATLAS - Leukocyte Count
C147848,ATLAS - Score,ATLAS1-Score;ATLAS106;ATLAS - Score
C147848,ATLAS - Score,ATLAS1-Score;ATLAS106;ATLAS - Score
C147848,ATLAS - Score,ATLAS1-Score;ATLAS106;ATLAS - Score
C147848,ATLAS - Score,ATLAS1-Score;ATLAS106;ATLAS - Score
C147847,ATLAS - Serum Creatinine,ATLAS1-Serum Creatinine;ATLAS105;ATLAS - Serum Creatinine
C147847,ATLAS - Serum Creatinine,ATLAS1-Serum Creatinine;ATLAS105;ATLAS - Serum Creatinine
C147847,ATLAS - Serum Creatinine,ATLAS1-Serum Creatinine;ATLAS105;ATLAS - Serum Creatinine
C147847,ATLAS - Serum Creatinine,ATLAS1-Serum Creatinine;ATLAS105;ATLAS - Serum Creatinine
C147847,ATLAS - Serum Creatinine,ATLAS1-Serum Creatinine;ATLAS105;ATLAS - Serum Creatinine
C147844,ATLAS - Treatment With Antibiotics,ATLAS1-Treatment With Antibiotics;ATLAS102;ATLAS - Treatment With Antibiotics
C147844,ATLAS - Treatment With Antibiotics,ATLAS1-Treatment With Antibiotics;ATLAS102;ATLAS - Treatment With Antibiotics
C147844,ATLAS - Treatment With Antibiotics,ATLAS1-Treatment With Antibiotics;ATLAS102;ATLAS - Treatment With Antibiotics
C147844,ATLAS - Treatment With Antibiotics,ATLAS1-Treatment With Antibiotics;ATLAS102;ATLAS - Treatment With Antibiotics
C147589,ATLAS Score Clinical Classification,ATLAS;ATLAS1
C147589,ATLAS Score Clinical Classification,ATLAS;ATLAS1
C147589,ATLAS Score Clinical Classification,ATLAS;ATLAS1
C147589,ATLAS Score Clinical Classification,ATLAS;ATLAS1
C103346,Abdominal Skinfold Thickness,ABSKNF
C103346,Abdominal Skinfold Thickness,ABSKNF
C103346,Abdominal Skinfold Thickness,ABSKNF
C154889,Abnormal Bleeding Indicator,BLEEDIND;Abnormal Indicator
C154889,Abnormal Bleeding Indicator,BLEEDIND;Abnormal Indicator
C154889,Abnormal Bleeding Indicator,BLEEDIND;Abnormal Indicator
C154889,Abnormal Bleeding Indicator,BLEEDIND;Abnormal Indicator
C102111,Abnormal Involuntary Movement Scale Clinical Classification,AIMS;AIMS01
C102111,Abnormal Involuntary Movement Scale Clinical Classification,AIMS;AIMS01
C102111,Abnormal Involuntary Movement Scale Clinical Classification,AIMS;AIMS01
C102111,Abnormal Involuntary Movement Scale Clinical Classification,AIMS;AIMS01
